Name,Mission Link,Series Type,Series Name,Series Index,Intel JSON
Visit Downtown Portland! #1,https://www.ingress.com/mission/496d0a6b806342e18a031f48c08387ba.1c,Banner,Visit Downtown Portland,1,"{""result"":[""496d0a6b806342e18a031f48c08387ba.1c"",""Visit Downtown Portland! #1"",""Do all six of these missions in order for a panorama of the Portland skyline!"",""Shocklance"",""R"",919355,452015,61,2,[[false,""80a3b9239fc147eb8d67d6fc19984a3d.16"",""Attractions Sign"",1,1,[""p"",""R"",45518785,-122678940,1,87.0,1,""http://lh4.ggpht.com/xanDn_6G56ihbsxdqD41UADTKplmDlp4M0VDT4BzT41JVuxKA7wxYlQ-0qyQu0NZv3Rf33a9JWKBW2Nkn1c"",""Attractions Sign"",[],true,true,null,1455569887132]],[false,""974172bf4ead699f555b049b2ef459f0.1d"",""Portland Hotel"",2,7,[""f"",45518901,-122679000]],[false,""65723998dbcacde3e32a976e2fa9570f.1d"",""Soul of the City"",2,7,[""f"",45518859,-122679229]],[false,""39edef3f408048d88cee2deddc405904.16"",""Animated Weather Clock"",1,1,[""p"",""R"",45519003,-122679306,1,88.0,1,""http://lh3.ggpht.com/Ui8a3AvlyiC2URtrVa2x74R766tqcgf1mOT3c0O2g_ui_ZcMM4fsrszVL36qX4SRdzIkQxFfxjAh2yKx28vr"",""Animated Weather Clock"",[],false,false,null,1455569885664]],[false,""9cc938c60a3744a5ae37570298de3b00.16"",""Visitor Information Center Fountain"",1,1,[""p"",""R"",45518933,-122679554,1,88.0,1,""http://lh4.ggpht.com/0BgKaPS1sanzpybi0FXG5IOSDpsMhlPn08Aop-tGyqCFEBt_ZHP22l6Q_bRc5f7CmFtlkKg5ZPmSSG4iki8"",""Visitor Information Center Fountain"",[],true,true,null,1455569885346]],[false,""7571e0cdbebf15494cf6a8e8d6e71a30.1d"",""Drink Up Downtown"",2,7,[""f"",45518932,-122679504]]],""https://lh3.googleusercontent.com/lINelUv64cKNVuCqee5sjXx9LA-JJ7ly7UdNfGKvV289SJZHcR3hpvTu7IcQXR5FbD7TvRnJTAYFCKmRPA1s""]}"
Visit Downtown Portland! #2,https://www.ingress.com/mission/0151098f666046ea825bce58d62db185.1c,Banner,Visit Downtown Portland,2,"{""result"":[""0151098f666046ea825bce58d62db185.1c"",""Visit Downtown Portland! #2"",""Do all six of these missions in order for a panorama of the Portland skyline!"",""Shocklance"",""R"",900000,234996,60,2,[[false,""738965bc17ef47e399247e975d25ea7d.16"",""Chessboards in Pioneer Square"",1,1,[""p"",""R"",45519196,-122679382,1,83.0,1,""http://lh5.ggpht.com/wiJQbrqpBdMFnDltt0uCMrN3f7tcwNc_hom2KyH233BIAdbJp6WWZyMKF7kJQwNTLfno8Pv8pmrDYj6gBsv0ew"",""Chessboards in Pioneer Square"",[],false,false,null,1455569885029]],[false,""bc753b7391882b3786defb7ce715f163.1d"",""A View East on Morrison Street"",2,7,[""f"",45519241,-122679107]],[false,""146a0b7c8db149a88fcb1c9cc999d324.16"",""Morrison Street Stoa Portal"",1,1,[""p"",""R"",45519134,-122679049,1,87.0,1,""http://lh3.ggpht.com/OSeVvtAH09GaR0qja3-AK_6NfS2fE8PHogFKUWllhYRO1f9XoTLcC4xeTly5teQAjfoNl0_d8MeZPSLjgggD"",""Morrison Street Stoa Portal"",[],false,false,null,1455569885931]],[false,""c85e68c56bc19fad22d6a3d1461d7474.1d"",""Wells Fargo Building"",2,7,[""f"",45519218,-122678627]],[false,""7b805e8584e1abf3bb2a1dd2f51c66f7.1d"",""Glimpse of the Business District"",2,7,[""f"",45519241,-122678619]],[false,""fe984c21479a6ac21a5a2287fc9d992a.1d"",""Portland Neighborhood"",2,7,[""f"",45519088,-122678512]]],""https://lh3.googleusercontent.com/E7mIQUMHrp62aICuZEmV0EKEZEoszHH9FLpdzk1RR3sQAXSpz6BgHwgz6yAwplID7VoLdh_XWCalx4JIOqI""]}"
Visit Downtown Portland! #3,https://www.ingress.com/mission/c1e6e756e4064d47a67f10cb3d024053.1c,Banner,Visit Downtown Portland,3,"{""result"":[""c1e6e756e4064d47a67f10cb3d024053.1c"",""Visit Downtown Portland! #3"",""Do all six of these missions in order for a panorama of the Portland skyline!"",""Shocklance"",""R"",894737,217612,58,2,[[false,""5fd12cd0568743f4957860c24b22793c.16"",""Kvinneakt, 1973"",1,1,[""p"",""E"",45519217,-122678406,1,90.0,1,""http://lh5.ggpht.com/9Q5Q6ma06a2rIL-QwPwn5aheDhXKLuvs2OhDXptD_NC0p4QlhMUjEDtoUof1JlaUQfmdStjn0s1po5aW6_B0LQ"",""Kvinneakt, 1973"",[],false,false,null,1455570279574]],[false,""fe984c21479a6ac21a5a2287fc9d992a.1d"",""Portland Neighborhood"",2,7,[""f"",45519088,-122678512]],[false,""611b7f41c79fdb88c32229b1db77fc34.1d"",""Pioneer Courthouse"",2,7,[""f"",45519039,-122678619]],[false,""5f0d7ca85af283a2c90aabe671820d7f.1d"",""Morrison Street Parade"",2,7,[""f"",45518959,-122678138]],[false,""2aef8d85fb8f4f0bb28e0150ac8c8ff2.11"",""Beavers"",1,1,[""p"",""E"",45518905,-122678329,1,40.0,1,""http://lh6.ggpht.com/j1IIz8KNTS-3cemm-8A0J3zA9abZBW6kyxpnqijl1xqgs4YRrZX5us0W2qg1aUJ0M2Rgkt0-736rNfxcqadv0XT_h3oznwAWxjaBc9fhoC_afI0f"",""Beavers"",[],false,false,null,1455570278835]],[false,""0b010c429bd2454d9d039316f546ea40.11"",""Ducks Fountain"",1,1,[""p"",""E"",45518874,-122678028,1,68.0,1,""http://lh6.ggpht.com/t9HVArFchjqZtpeAyV7G78me0mY-5ZVQ0FCEHVoNVrDeXGdqMHXQ4nPmJ3LVMAXyX_F7h_BKLiuMFAO3qAT8NA"",""Ducks Fountain"",[],false,false,null,1455570278236]]],""https://lh3.googleusercontent.com/QgyX_79CRdBvN7DB05pxq5jULMc6gNj1O9nkF8i-nsMzXFYkpO6Gc72JGYG0idZpCA-_z5dBQES3NzJ2H7cP""]}"
Visit Downtown Portland! #4,https://www.ingress.com/mission/d7389fc248c347ef9931a51d5e546c37.1c,Banner,Visit Downtown Portland,4,"{""result"":[""d7389fc248c347ef9931a51d5e546c37.1c"",""Visit Downtown Portland! #4"",""Do all six of these missions in order for a panorama of the Portland skyline!"",""Shocklance"",""R"",866667,203900,59,2,[[false,""d299e96008464ce59f8fc7fb5437af6e.16"",""Bill Roberts"",1,1,[""p"",""E"",45518615,-122677782,6,94.0,8,""http://lh4.ggpht.com/R2zJfhAjlxU9ocxbuPqIS0inlFhI1Dq8LM23abBQqJ0xMV9_OuIZutFG1R8GRB9VCTqlpte70ng-RWqsbLo4iw"",""Bill Roberts"",[],false,false,null,1455570277242]],[false,""b253fcb574964899921aeeca46d1c065.1d"",""The Nines"",2,7,[""f"",45518878,-122677932]],[false,""5ebc1ed9632e204d82a0bdfc1438f10b.1d"",""Meier & Frank Building"",2,7,[""f"",45519199,-122678001]],[false,""50fe6f49fd0ad1f2a46bb29cf31ab4bf.1d"",""The Nines"",2,7,[""f"",45519100,-122677818]],[false,""f2e9f7646697daebc3738b7d045afe6d.1d"",""Strawberry Season"",2,7,[""f"",45519001,-122677818]],[false,""f1e1ccece0f04056918ce89e598b2e9d.1d"",""Meier and Frank Company"",2,7,[""f"",45519100,-122677528]]],""https://lh3.googleusercontent.com/pFDIYFhOO1CVAB0x-KwGoXEspv3aj8lSsHhFt1-PxifzyQo13FomW9tMCdzqje830zRKEXb43OKpXgQzP5BVGw""]}"
Visit Downtown Portland! #5,https://www.ingress.com/mission/a5c54e1fbf9649878a9d2d38d3d6d384.1c,Banner,Visit Downtown Portland,5,"{""result"":[""a5c54e1fbf9649878a9d2d38d3d6d384.1c"",""Visit Downtown Portland! #5"",""Do all six of these missions in order for a panorama of the Portland skyline!"",""Shocklance"",""R"",859649,409096,58,2,[[false,""c8ec181a45bb49dcbfc6018a4adb02d6.16"",""Vintage Trolley Founder Plaque"",1,1,[""p"",""E"",45518815,-122677444,1,45.0,1,""http://lh3.ggpht.com/lfgeqQXNkuy1rMdMuZiOOCLC0JvOrr5OcQGGHTwSdhAM8SZg6doN96ECD_BvzYrM8aH5yl2Wx9H3guA0x3pjCw"",""Vintage Trolley Founder Plaque"",[],false,false,null,1455570277938]],[false,""0e4d5571a0ce4267b5debf4eca7b3148.16"",""In Memory of William E Roberts"",1,1,[""p"",""E"",45518598,-122677304,2,73.0,3,""http://lh6.ggpht.com/Af20wVe4gjPS9AavWgP31iQzlzr6z9VsueMrFQhk3BqLjs33qLJV1lhu92cBnYI0PfNtsX0TmEKc6KcwESUK"",""In Memory of William E Roberts"",[],true,true,null,1455570277078]],[false,""cc107cce28edbe37d1e8775e43bd8783.1d"",""The Capitol Theatre and the Blue Mouse, 1930s-1970s"",2,7,[""f"",45518501,-122676696]],[false,""9d1d51199d564dc681d5dba0bef82c29.16"",""Pioneer Place Fountain"",1,1,[""p"",""R"",45518274,-122677218,3,100.0,8,""http://lh6.ggpht.com/AjIbwh3XMKMbcbN5G6RsDKejE6aL8x1iMrsTgi_EhxHGtM2PnB_HSJilpA4NyV6Rn6C1AxGxtVepVXONBNuI"",""Pioneer Place Fountain"",[],false,false,null,1455569890680]],[false,""19fb39d72e4a4686bcf103a34e424e2a.16"",""Pioneer Square North Fountain"",1,1,[""p"",""E"",45518616,-122676322,6,81.0,8,""http://lh6.ggpht.com/n8eqCUE0LlzxXVZ09YkCzmfnGeXs8msH1xT3A1jm4mskSM_sCEi_RyXWC-isiuAbDc6dPmJ2rKn0Nz1TIeN9"",""Pioneer Square North Fountain"",[],false,false,null,1455570277397]],[false,""36a8bc9bd71ee12962314d63033b8163.1d"",""The Rex Theatre and Round-Up, 1916-1977"",2,7,[""f"",45518451,-122676010]],[false,""ef343c8d347b4c3cbcc5ad613ddef186.16"",""Smart Park Fish Salmon"",1,1,[""p"",""E"",45518460,-122676001,2,53.0,3,""http://lh5.ggpht.com/SWjInpOc8SJucjPT3X1nYV_nF0KP9f7FaTBsh_5vQoiIfE0_Wfi6fp7bZ8uZTq6qAKUfi0ZnwyoCqY0P7aydLw"",""Smart Park Fish Salmon"",[],true,true,null,1455570277315]]],""https://lh3.googleusercontent.com/y4Vpyt37mwbGBjiJuhZ1g2GOijuagoxIJXaBlLydi44QRpkfmtASdhYs5hOa3SGo5admfZGhADumem3JFB-6""]}"
Visit Downtown Portland! #6,https://www.ingress.com/mission/52c30c420cbd4983b01ccf9dd45918f9.1c,Banner,Visit Downtown Portland,6,"{""result"":[""52c30c420cbd4983b01ccf9dd45918f9.1c"",""Visit Downtown Portland! #6"",""Do all six of these missions in order for a panorama of the Portland skyline!"",""Shocklance"",""R"",934426,386066,59,2,[[false,""11345366128241f38a11db1921ff7db3.16"",""Pioneer Place Rose"",1,1,[""p"",""E"",45517763,-122675973,1,99.0,1,""http://lh4.ggpht.com/bB87X_mwsRWs0GBf9m3zrFnQvNojc3m2EX2CTYsZvQj3AKOr82mYjSOxNTDtQbx75bwTflTrg4qC0dKu0_XU"",""Pioneer Place Rose"",[],false,false,null,1455570275560]],[false,""23730cee52f34350b0b72aabb001e28e.16"",""Compromise"",1,1,[""p"",""E"",45517618,-122676225,1,90.0,2,""http://lh4.ggpht.com/l_wdT-YR7v9hd6Ni79q5y0P-vM9uI_CPE-D_5e7ojFFIOM92fJ-Pi8LJD3jGUPuskb8TyKylMX6wLtx1E6srwA"",""Compromise"",[],false,false,null,1455570275490]],[false,""d56207688b064abd97793723c48b4a9d.16"",""Children"",1,1,[""p"",""N"",45517676,-122676482,1,0,0,""http://lh4.ggpht.com/iGuh3PjwGGRrQlkhumc0bu0c2vq4X5PSKxPQq8ZgZmWdnU59GDavthw_C1WNvjgq6jfrwbAEhAA7f3HyPqa7"",""Children"",[],false,false,null,1455565921668]],[false,""520782facb39492b8c211ce8387cf533.16"",""Phone Call"",1,1,[""p"",""E"",45517746,-122676753,1,43.0,1,""http://lh6.ggpht.com/SQcle694q1PUbIMjKSYQcG4oq6apbS9K7nR2gKkPrrH_wRGle-Ww4xVzqVLTZQzLq_qZCZXWP2MiwzWzTjoe"",""Phone Call"",[],false,false,null,1455570275209]],[false,""e94956cacff34258ae8efd76a28b2f3c.16"",""Portland Vintage Trolley Saks Founders Badge"",1,1,[""p"",""R"",45518095,-122677579,3,100.0,8,""http://lh5.ggpht.com/700j_uKtrLmi8J0kv6yPj2iEztuneyiG23KO-WrPTAyHxDaKhPcznckHN2WsP-5aPKZEPzGO20RIiT2lc5c"",""Portland Vintage Trolley Saks Founders Badge"",[],false,false,null,1455569890445]],[false,""a703bf7440a2b4b7ea52e59e635e5b6b.1d"",""Pioneer Place"",2,7,[""f"",45518150,-122677932]]],""https://lh3.googleusercontent.com/mzDoeXxcexqZE-xEV5izPwwsbERVDXdx_mVq3uyjNos9jZHM7eMZyAPdpzfgWNOx-pqfZ1ScmoykAuoDruGW""]}"
Exploring Portland #1,https://www.ingress.com/mission/7d4e878d5cfe4f9685cbc5014c424294.1c,Sequence,Exploring Portland,1,"{""result"":[""7d4e878d5cfe4f9685cbc5014c424294.1c"",""Exploring Portland #1"",""This is the first in a series of 24 hack missions that will take you around you beautiful city. Complete these  in order to get an iconic Portland mural on your scanner."",""bazzle"",""R"",921569,508393,106,1,[[false,""9cc938c60a3744a5ae37570298de3b00.16"",""Visitor Information Center Fountain"",1,1,[""p"",""R"",45518933,-122679554,1,88.0,1,""http://lh4.ggpht.com/0BgKaPS1sanzpybi0FXG5IOSDpsMhlPn08Aop-tGyqCFEBt_ZHP22l6Q_bRc5f7CmFtlkKg5ZPmSSG4iki8"",""Visitor Information Center Fountain"",[],true,true,null,1455569885346]],[false,""26092f8421a542c59549055c858d438f.16"",""Portland's Living Room"",1,1,[""p"",""R"",45518772,-122679826,1,45.0,1,""http://lh6.ggpht.com/SbgdfWztI4Qtr-asfZJx6tT0g7Q26JFGmTv87V_ivW4UA-fK6q0f7B4KJnYtMXxdisiD_5PGnJ-1h_iu1l24"",""Portland's Living Room"",[],false,false,null,1455569886151]],[false,""738965bc17ef47e399247e975d25ea7d.16"",""Chessboards in Pioneer Square"",1,1,[""p"",""R"",45519196,-122679382,1,83.0,1,""http://lh5.ggpht.com/wiJQbrqpBdMFnDltt0uCMrN3f7tcwNc_hom2KyH233BIAdbJp6WWZyMKF7kJQwNTLfno8Pv8pmrDYj6gBsv0ew"",""Chessboards in Pioneer Square"",[],false,false,null,1455569885029]],[false,""146a0b7c8db149a88fcb1c9cc999d324.16"",""Morrison Street Stoa Portal"",1,1,[""p"",""R"",45519134,-122679049,1,87.0,1,""http://lh3.ggpht.com/OSeVvtAH09GaR0qja3-AK_6NfS2fE8PHogFKUWllhYRO1f9XoTLcC4xeTly5teQAjfoNl0_d8MeZPSLjgggD"",""Morrison Street Stoa Portal"",[],false,false,null,1455569885931]],[false,""39edef3f408048d88cee2deddc405904.16"",""Animated Weather Clock"",1,1,[""p"",""R"",45519003,-122679306,1,88.0,1,""http://lh3.ggpht.com/Ui8a3AvlyiC2URtrVa2x74R766tqcgf1mOT3c0O2g_ui_ZcMM4fsrszVL36qX4SRdzIkQxFfxjAh2yKx28vr"",""Animated Weather Clock"",[],false,false,null,1455569885664]],[false,""34b015b3d8aa4f7ab7bf43557a6432d7.12"",""Allow Me"",1,1,[""p"",""E"",45518714,-122679438,1,35.0,1,""http://lh6.ggpht.com/ApwL1md5yI-2-kuo1dQgYKhg0SrAwkZhqI8aY2IJTkJIAztzXOV3COBBNOWYbTHccg47z6n2cW2k7qBokZvWWA"",""Allow Me"",[],true,true,null,1455570279502]],[false,""80a3b9239fc147eb8d67d6fc19984a3d.16"",""Attractions Sign"",1,1,[""p"",""R"",45518785,-122678940,1,87.0,1,""http://lh4.ggpht.com/xanDn_6G56ihbsxdqD41UADTKplmDlp4M0VDT4BzT41JVuxKA7wxYlQ-0qyQu0NZv3Rf33a9JWKBW2Nkn1c"",""Attractions Sign"",[],true,true,null,1455569887132]]],""https://lh3.googleusercontent.com/pqaNvJ0hGIgjjpFXBeFo9AzImGBXx6hyMTLhgIRVYWgI1W_yllWbsP9KyFZXCXcIZDDBf8mWDDa-5Uj74E9uig""]}"
Exploring Portland #2,https://www.ingress.com/mission/d604104e1142465aac7f4c9165acb8c1.1c,Sequence,Exploring Portland,2,"{""result"":[""d604104e1142465aac7f4c9165acb8c1.1c"",""Exploring Portland #2"",""This is #2 in a series of 24 hack missions that will take you around our beautiful city. Complete these  in order to get an iconic Portland mural on your scanner."",""bazzle"",""R"",921569,311305,106,1,[[false,""a5c058a4a4244f389d1b226cb7fde4d4.16"",""Pioneer Courthouse Square Plaque "",1,1,[""p"",""E"",45518555,-122679032,1,5.0,2,""http://lh3.ggpht.com/yO56UjntPp6r_PN6ifus40rWU4pWAbbKQH5JdcWPvtEOquX7MgfRZWVy-ZT5qRUwh0sKA2ytPV9jdjx8L9hG"",""Pioneer Courthouse Square Plaque "",[],true,true,null,1455570278747]],[false,""acc71747e0554ced94cea163fe89f63e.16"",""Bronze Bears"",1,1,[""p"",""R"",45518382,-122678585,1,100.0,1,""http://lh5.ggpht.com/HMQPSw_Zt6C_p-P6nTI41Veu9g3T2j2E-9Tt8P2KOlVGg3rMETtN0Gs2GHrZKGBeZPBgkpx_TMI3tWph-PTL"",""Bronze Bears"",[],false,false,null,1455569888150]],[false,""e0eedcfd0f404dc39258702f8f6508df.16"",""Bronze Deer"",1,1,[""p"",""E"",45518293,-122678331,1,29.0,1,""http://lh4.ggpht.com/JNeSdySDttKCTBTdgcRhrj2Qy0QKnJvcV3eLivLDTpZqE2jJRo6G71eH77QWfoN38Mt-2bAIUMj5GHqkZLs"",""Bronze Deer"",[],false,false,null,1455570276999]],[false,""9517b81ae6254282bc25b28b9e0fb1f5.16"",""Ben Bridges Clock"",1,1,[""p"",""E"",45518104,-122678078,1,83.0,1,""http://lh3.ggpht.com/EZcoFMeecycC6Wlu1Pnv2YNZRkZ_hPO_VoEcOAHJw5PdoEax08K1mpaJ3L8sU6a1d6RNsYUijhvXl8JOCvECRQ"",""Ben Bridges Clock"",[],false,false,null,1455570275639]],[false,""22a1797a86d849c580c544a49f42b1b5.16"",""Bud Clark Bike Rack"",1,1,[""p"",""E"",45518345,-122677717,7,98.0,8,""http://lh6.ggpht.com/PC0IfuVBR3J_aLgcT33-3F8G38FwURiv2fKB5mDv99pTQrqnU4AHm-BhXvLYjchZpd1BLazX3EMCp6OA5_gC"",""Bud Clark Bike Rack"",[],false,false,null,1455570276201]],[false,""d299e96008464ce59f8fc7fb5437af6e.16"",""Bill Roberts"",1,1,[""p"",""E"",45518615,-122677782,6,94.0,8,""http://lh4.ggpht.com/R2zJfhAjlxU9ocxbuPqIS0inlFhI1Dq8LM23abBQqJ0xMV9_OuIZutFG1R8GRB9VCTqlpte70ng-RWqsbLo4iw"",""Bill Roberts"",[],false,false,null,1455570277242]],[false,""c8ec181a45bb49dcbfc6018a4adb02d6.16"",""Vintage Trolley Founder Plaque"",1,1,[""p"",""E"",45518815,-122677444,1,45.0,1,""http://lh3.ggpht.com/lfgeqQXNkuy1rMdMuZiOOCLC0JvOrr5OcQGGHTwSdhAM8SZg6doN96ECD_BvzYrM8aH5yl2Wx9H3guA0x3pjCw"",""Vintage Trolley Founder Plaque"",[],false,false,null,1455570277938]]],""https://lh3.googleusercontent.com/gBHUuLUelOkChfr6oz0MNxV0uPzEo0CjtIANFbxIsUaSvN6OUzGDbl_hvGUm8r5qg-RoL0JiVW8coNm8pAtg""]}"
Exploring Portland #3,https://www.ingress.com/mission/30f7e89229be4f8db06f4d2ad8c4b559.1c,Sequence,Exploring Portland,3,"{""result"":[""30f7e89229be4f8db06f4d2ad8c4b559.1c"",""Exploring Portland #3"",""This is #3 in a series of 24 hack missions that will take you around our beautiful city. Complete these  in order to get an iconic Portland mural on your scanner."",""bazzle"",""R"",922330,574887,105,1,[[false,""0e4d5571a0ce4267b5debf4eca7b3148.16"",""In Memory of William E Roberts"",1,1,[""p"",""E"",45518598,-122677304,2,73.0,3,""http://lh6.ggpht.com/Af20wVe4gjPS9AavWgP31iQzlzr6z9VsueMrFQhk3BqLjs33qLJV1lhu92cBnYI0PfNtsX0TmEKc6KcwESUK"",""In Memory of William E Roberts"",[],true,true,null,1455570277078]],[false,""19fb39d72e4a4686bcf103a34e424e2a.16"",""Pioneer Square North Fountain"",1,1,[""p"",""E"",45518616,-122676322,6,81.0,8,""http://lh6.ggpht.com/n8eqCUE0LlzxXVZ09YkCzmfnGeXs8msH1xT3A1jm4mskSM_sCEi_RyXWC-isiuAbDc6dPmJ2rKn0Nz1TIeN9"",""Pioneer Square North Fountain"",[],false,false,null,1455570277397]],[false,""dcd3b8f9f2884516bd2eba2f5ced70fb.16"",""Morrison and SW 3rd MAX Station"",1,1,[""p"",""E"",45518131,-122675289,3,99.0,4,""http://lh3.ggpht.com/_qASxRo-8k2QiCkxYNAcJ86oeqrw9JCLzD8a4gFpt1NXPxNFbSlzZARXsUU752eKVppTkhBlpUbazRGbJ9M"",""Morrison and SW 3rd MAX Station"",[],false,false,null,1455570277859]],[false,""81e5c33d597946f480b16b50c953c239.16"",""Moda Tower"",1,1,[""p"",""R"",45518307,-122674496,7,100.0,8,""http://lh6.ggpht.com/Q_6EgymfsAXXlhy9T_OYX3Wwv7hOJzmyIHWKpnTy38tzLexhRVjlkRQHHveMlq5sDoHQDte7dOTTtr20aCg"",""Moda Tower"",[],false,false,null,1455569891373]],[false,""59743cc8c6274e5fa46c0db5bba8dceb.16"",""PCC Downtown"",1,1,[""p"",""E"",45517535,-122674683,7,99.0,8,""http://lh4.ggpht.com/ZhJYVptlOOIM6PQ3jInS8PnmCjJ4JeerfNEHk-EqeA2Ng7IL9Mud2Se7XXZusrWjlJnTPC0_KBYPp9FD-0X3ew"",""PCC Downtown"",[],false,false,null,1455570278314]],[false,""6504e2d14d424154b4cc61cba56f8b6f.16"",""Scales of Justice Bike Rack"",1,1,[""p"",""E"",45517149,-122674894,1,64.0,2,""http://lh6.ggpht.com/cQFbKfLuiHusQxBdjwv_4B9D30pAa_EsrNDb68PP_KeNtrgzuSfGJZxAL-IsLWac40MwtA4sjjY_GPnx1UQ"",""Scales of Justice Bike Rack"",[],false,false,null,1455570277790]],[false,""10ea95f51f11498a916f578eab5269b5.16"",""Haunter in the Wall"",1,1,[""p"",""R"",45516939,-122675261,1,10.0,1,""http://lh3.ggpht.com/9mxrW19EYiGKGFpNvoZXwZi3zi-zp6k6B2XsLjZs-lSwBPQgH8V5QP11YRdIof2sYNhrfdLqxuh-nPHF0U4"",""Haunter in the Wall"",[],false,false,null,1455565944948]]],""https://lh3.googleusercontent.com/__B2my0lGr_FWDFhSG4MgQvoSgNWN0M9xBNZ0spw91s_5WSsM_zzGS8kdhWZRgZhjeMFoNZ7zmULUYjistlI""]}"
Exploring Portland #4,https://www.ingress.com/mission/9af039a223a54a88b37bdd64445553d9.1c,Sequence,Exploring Portland,4,"{""result"":[""9af039a223a54a88b37bdd64445553d9.1c"",""Exploring Portland #4"",""This is #4 in a series of 24 hack missions that will take you around our beautiful city. Complete these  in order to get an iconic Portland mural on your scanner."",""bazzle"",""R"",908163,460660,101,1,[[false,""f96dbd94f1cd47fe91c214fa13f4c121.16"",""Moy Decorative Seal"",1,1,[""p"",""E"",45517325,-122675254,1,97.0,4,""http://lh6.ggpht.com/T5UFwsS_yDADk0X2lEeBdAjxnrBh8NaLdGGxSpxTJMSpcLkDUqUe7X1uU-wjuCCwoUPvHvZA0_KBJmZaUGz4"",""Moy Decorative Seal"",[],true,true,null,1455570276614]],[false,""1f8488254b144c169e625ec75514f789.16"",""Yamhill Pub Mural"",1,1,[""p"",""E"",45517571,-122675407,1,98.0,1,""http://lh5.ggpht.com/hJ8MLYdtFkl1ILVXFXpSpA7pifVaUdadMCsXWUC--0DUChnCFeZdKR0knaC5qONYm6suMrQZrp-q_fNCRT8"",""Yamhill Pub Mural"",[],false,false,null,1455570276377]],[false,""11345366128241f38a11db1921ff7db3.16"",""Pioneer Place Rose"",1,1,[""p"",""E"",45517763,-122675973,1,99.0,1,""http://lh4.ggpht.com/bB87X_mwsRWs0GBf9m3zrFnQvNojc3m2EX2CTYsZvQj3AKOr82mYjSOxNTDtQbx75bwTflTrg4qC0dKu0_XU"",""Pioneer Place Rose"",[],false,false,null,1455570275560]],[false,""23730cee52f34350b0b72aabb001e28e.16"",""Compromise"",1,1,[""p"",""E"",45517618,-122676225,1,90.0,2,""http://lh4.ggpht.com/l_wdT-YR7v9hd6Ni79q5y0P-vM9uI_CPE-D_5e7ojFFIOM92fJ-Pi8LJD3jGUPuskb8TyKylMX6wLtx1E6srwA"",""Compromise"",[],false,false,null,1455570275490]],[false,""f2a9068fbbb54f60861dad6c8066c5a6.16"",""The Gilbert"",1,1,[""p"",""E"",45517071,-122676344,1,32.0,1,""http://lh4.ggpht.com/EqKjbJCbPz5u_DYHCpbSh5bwgcziATTgyTuaTwenm10e-elO_aFT3FFgkTjL2sZBu0jHWwt9x6i6o87NasBkYg"",""The Gilbert"",[],false,false,null,1455570275130]],[false,""025b8f85837a4e4394e01cf3c2766994.12"",""Zipcar-852 S.W. 4th Avenue"",1,1,[""p"",""E"",45517376,-122676809,1,13.0,1,""http://lh4.ggpht.com/H1kV6JSczzSbcCblAHg5ZOgITW1mBAz0_oLbqbzxBlijGTBn7TP6KwA6UI0AAGrCN4VF0DAF79Vcj6_2R4dsB8LRTq6tud6v"",""Zipcar-852 S.W. 4th Avenue"",[],false,false,null,1455570275054]],[false,""e166c80e92dc408ba7e4ad10111590d3.16"",""The Responsibility of Raising a Child"",1,1,[""p"",""E"",45517500,-122678055,1,53.0,1,""http://lh3.googleusercontent.com/AvNSd3aZT2CdyHj6SeLM0jq3Sn4vMJjvG60eWb0uqtXJhy054eeQyPlxxteMj0rO3lUSHRYsskd7vZcr42uFbg"",""The Responsibility of Raising a Child"",[],false,false,null,1455570275299]]],""https://lh3.googleusercontent.com/u3fO81TiSbiZDVsDrK1DvCef1DAvEeCZvXucpsf_5k4AFtKRb8mquyOOyhGfOe_uJDa-3midN2x9bla0qPrHHw""]}"
